,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
50,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,100.0,#DIV/0!,100.0
51,Erie County (West Central)--Buffalo City (West) PUMA,57.6117713638936,87.65432098765432,48.6784140969163
52,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
53,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
54,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,47.91666666666667,100.0,42.99674267100978
55,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
56,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.0,0.0,0.0
57,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
58,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,38.21989528795812,100.0,0.0
59,Jefferson & Lewis Counties PUMA,100.0,#DIV/0!,100.0
60,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,12.068965517241379,25.83479789103691,0.0
61,Schenectady County--Schenectady City PUMA,100.0,#DIV/0!,100.0
62,NYC-Queens Community District 1--Astoria & Long Island City PUMA,20.089086859688194,7.102803738317758,31.914893617021278
63,Suffolk County (North Central)--Brookhaven Town (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
64,Fulton & Montgomery Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
65,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,44.72361809045226,17.058823529411764,60.70215175537938
66,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",95.9079283887468,92.3076923076923,100.0
67,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
68,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",33.24590163934426,14.036895805421004,51.65975103734441
69,Monroe County (Central)--Rochester City (East) PUMA,0.0,#DIV/0!,0.0
70,Westchester County (Northeast) PUMA,16.563467492260063,0.0,23.568281938325992
71,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",37.495440729483285,42.27039361095265,33.94787031150667
72,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",50.69558101472995,40.7576289021396,57.018522651193926
73,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
74,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,#DIV/0!
75,Monroe County (South) PUMA,0.0,#DIV/0!,0.0
76,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",50.51172003961704,68.12121212121211,43.920145190562614
77,Rensselaer County--Troy City PUMA,100.0,100.0,#DIV/0!
78,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
79,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
80,Ontario & Yates Counties PUMA,0.0,0.0,0.0
81,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,100.0,100.0,100.0
82,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,#DIV/0!
83,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",45.16241704505764,48.96797153024911,41.49519890260631
84,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",13.325991189427313,4.139900071377587,44.33734939759036
85,Chautauqua County PUMA,100.0,100.0,100.0
86,Orange County (Southeast) PUMA,35.853658536585364,100.0,30.0531914893617
87,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
88,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
89,Suffolk County (East) PUMA,28.30188679245283,100.0,0.0
90,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",21.0,100.0,18.00976800976801
91,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,34.910597470562585,18.60805860805861,58.890086206896555
92,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
93,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",53.333333333333336,46.308243727598565,60.3584229390681
94,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",24.034917555771095,6.859361518550474,38.06838209376102
95,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,#DIV/0!,0.0
96,Erie County (West Central)--Buffalo City (East) PUMA,35.27272727272727,64.66666666666666,0.0
97,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,41.36291600633915,#DIV/0!,41.36291600633915
98,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",37.91208791208791,32.6226012793177,47.49034749034749
99,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",27.482014388489205,68.05555555555556,25.26555386949924
100,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
101,Nassau County (Central)--Hempstead Town (East Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
102,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.0,0.0,0.0
103,Westchester County (Central)--White Plains City PUMA,15.71665744327615,23.509933774834437,0.0
104,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
105,Suffolk County (Northwest)--Huntington Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
106,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,50.20704886353179,43.95645645645646,56.21953421195162
107,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,33.262599469496024,15.618661257606492,39.51149425287356
108,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,39.87942234892742,42.875260440257264,36.6866190384244
109,Suffolk County (Northwest)--Huntington Town (North) PUMA,0.0,#DIV/0!,0.0
110,Suffolk County (Southwest)--Islip Town (South) PUMA,100.0,#DIV/0!,100.0
111,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,0.0,0.0
112,Ulster County (East) PUMA,0.0,0.0,0.0
113,NYC-Manhattan Community District 10--Central Harlem PUMA,24.507750314201925,37.409024745269285,19.294117647058822
114,NYC-Brooklyn Community District 4--Bushwick PUMA,41.09159347553325,23.986735445836405,63.53965183752418
115,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",21.918321468714876,17.310012062726177,29.475766567754697
116,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,0.0
117,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",46.8510158013544,36.66191155492154,53.52007469654529
118,Erie County (Central) PUMA,0.0,0.0,0.0
119,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
120,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
121,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
122,Westchester County (Southwest)--Yonkers City PUMA,18.211137389808645,20.411160058737153,16.487730061349694
123,Sullivan & Ulster (West) Counties PUMA,17.956204379562042,100.0,0.0
124,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",52.04004533434077,45.43297746144721,58.08318264014467
125,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,19.676199480028362,4.260953298025999,34.540389972144844
126,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",27.80278232405892,19.816643159379407,33.95508873596523
127,NYC-Manhattan Community District 11--East Harlem PUMA,16.167120799273388,13.730255164034022,19.276485788113696
128,Westchester County (Southeast) PUMA,14.243573535608933,12.512512512512513,15.502183406113538
129,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,#DIV/0!,#DIV/0!,#DIV/0!
130,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
131,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,23.237724842002915,26.715686274509803,19.81677917068467
133,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",#DIV/0!,#DIV/0!,#DIV/0!
134,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",37.05882352941177,0.0,54.78260869565217
135,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0
136,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",31.033434650455927,40.5672009864365,27.914481645824928
137,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,42.81599457810912,47.888888888888886,38.538413491567766
138,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,51.911764705882355,53.76279349789284,50.43290043290043
139,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",59.41422594142259,100.0,18.828451882845187
140,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",42.536962049157175,36.340094950366854,47.33500417710944
141,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
142,Orange County (Northeast)--Greater Newburgh City PUMA,40.133171912832935,25.830653804930332,58.692628650904034
143,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",40.52287581699346,0.0,60.78431372549019
144,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,18.15889029003783,0.0,100.0
145,Suffolk County (Central)--Islip Town (Northwest) PUMA,21.627466882941334,15.468856947296372,25.647899910634496
146,Capital Region,24.840764331210192,25.448430493273545,23.35164835164835
147,Central NY,44.98106060606061,0.0,56.48038049940547
148,Finger Lakes,35.09781357882623,0.0,41.21621621621622
149,Long Island,44.88391255877078,43.95531467757991,45.60828300258844
150,Mid-Hudson,31.082793820436404,28.94546886278627,33.41694137881611
151,Mohawk Valley,0.0,0.0,0.0
152,New York City,35.20832012175788,28.261646938008305,41.15178235220284
153,North Country,100.0,#DIV/0!,100.0
154,Southern Tier,96.35922330097088,0.0,100.0
155,Western NY,48.44256975989617,64.66083150984683,41.60516605166052
