,puma,HSINC_UnEmp_Total,HSINC_UnEmp_M,HSINC_UnEmp_F
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,0.0,0.0,#DIV/0!
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",8.032490974729242,10.840438489646772,0.0
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,9.278350515463918,14.399999999999999,0.0
61,NYC-Manhattan Community District 10--Central Harlem PUMA,13.707165109034266,0.0,39.198218262806236
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,0.0,0.0,0.0
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,4.6875,0.0,9.569377990430622
64,Albany County (East Central)--Albany City PUMA,0.0,0.0,0.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,0.0,0.0,0.0
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",4.354354354354354,0.0,9.709821428571429
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",2.019867549668874,0.0,4.189560439560439
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",0.0,0.0,0.0
70,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
71,NYC-Manhattan Community District 11--East Harlem PUMA,0.0,0.0,0.0
72,Orange County (Southeast) PUMA,0.0,0.0,#DIV/0!
73,Westchester County (Southeast) PUMA,0.0,0.0,0.0
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,1.8496420047732696,2.5316455696202533,0.0
75,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,0.0,0.0,0.0
77,Westchester County (Southwest)--Yonkers City PUMA,10.06259027443428,0.0,26.881028938906752
78,Erie County (North Central) PUMA,0.0,0.0,#DIV/0!
79,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,0.0,0.0,0.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0.0,0.0,0.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0.0,0.0,#DIV/0!
83,Niagara County (North & East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
84,Monroe County (Central)--Rochester City (East) PUMA,11.27450980392157,100.0,0.0
85,Warren & Washington Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,0.0,#DIV/0!
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,0.0,#DIV/0!,0.0
88,Onondaga County (Central)--Syracuse City PUMA,0.0,0.0,0.0
89,Westchester County (Central)--White Plains City PUMA,0.0,0.0,0.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,17.971334068357223,0.0,51.09717868338558
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",0.0,0.0,0.0
92,Cattaraugus & Allegany Counties PUMA,0.0,0.0,#DIV/0!
93,Oswego County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2.2603978300180834,0.0,12.647554806070826
95,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,0.0,0.0,0.0
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,0.0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",0.0,0.0,0.0
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.0,0.0,0.0
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",0.0,0.0,0.0
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0.0,#DIV/0!,0.0
102,Chautauqua County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,0.0,0.0,0.0
104,Erie County (West Central)--Buffalo City (East) PUMA,0.0,0.0,0.0
105,Genesee & Orleans Counties PUMA,0.0,0.0,#DIV/0!
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",0.0,0.0,0.0
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,32.52623083131558,42.690677966101696,0.0
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2.5,0.0,9.318637274549097
110,Suffolk County (East) PUMA,0.0,0.0,0.0
111,Orange County (Northwest) PUMA,0.0,0.0,0.0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,9.183673469387756,0.0,100.0
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",0.0,0.0,0.0
114,Suffolk County (Northwest)--Smithtown Town PUMA,100.0,100.0,#DIV/0!
115,Ulster County (East) PUMA,0.0,0.0,0.0
116,Westchester County (Northeast) PUMA,5.1058530510585305,6.34184068058778,0.0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,37.956748695003725,48.054474708171206,4.792332268370607
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,11.976047904191617,0.0,15.698587127158556
119,Dutchess County (North & East) PUMA,0.0,0.0,0.0
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,0.0,0.0,0.0
121,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",0.0,0.0,0.0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",14.408233276157805,0.0,28.522920203735147
124,Orange County (Northeast)--Greater Newburgh City PUMA,0.0,0.0,0.0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",0.0,#DIV/0!,0.0
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,4.176610978520286,7.72626931567329,0.0
127,Onondaga County (North) PUMA,0.0,0.0,0.0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,0.0,0.0,0.0
129,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
130,Sullivan & Ulster (West) Counties PUMA,0.0,0.0,#DIV/0!
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,13.714285714285715,45.07042253521127,0.0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,0.0,0.0,0.0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",16.876077851687608,6.572258533042846,38.62068965517241
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.0,0.0,0.0
135,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,9.930631617378605,12.046058458813109,0.0
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,2.53994264645637,3.2528856243441764,0.0
138,Putnam County PUMA,0.0,0.0,0.0
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,2.736175115207373,3.951747088186356,0.0
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,#DIV/0!,0.0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,#DIV/0!
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1.9695613249776187,0.0,5.326876513317192
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,0.0,0.0
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,3.37126000842815,0.0,8.978675645342312
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",0.0,0.0,0.0
146,Capital Region,3.0932594644506,15.296803652968036,0.0
147,Central NY,0.0,0.0,0.0
148,Finger Lakes,3.3221351250466595,2.53723110865968,4.965357967667437
149,Long Island,3.235202330177884,3.810180171310426,1.8651026392961876
150,Mid-Hudson,2.2370363742114447,0.46002805049088363,9.235528060097216
151,Mohawk Valley,0.0,0.0,0.0
152,New York City,5.244286697330773,3.7887532421678727,8.156500475478875
153,North Country,0.0,0.0,0.0
154,Southern Tier,7.317073170731707,0.0,42.857142857142854
155,Western NY,0.0,0.0,0.0
