,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",0.0,0.0,0.0
135,Monroe County (Central)--Rochester City (West) PUMA,0.0,0.0,0.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,8.208955223880597,11.144883485309018,0.0
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,33.0607476635514,43.44602609727165,13.208616780045352
138,Putnam County PUMA,0.0,0.0,#DIV/0!
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,18.044899119067917,17.844646606018195,18.910741301059
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,0.0,0.0,0.0
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",48.4722473332128,48.5966735966736,48.18775995246584
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,0.0,#DIV/0!,0.0
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,37.7601585728444,0.0,56.95067264573991
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",17.05963938973648,17.05963938973648,#DIV/0!
146,Capital Region,53.81165919282511,26.77725118483412,100.0
147,Central NY,17.996604414261462,27.676240208877285,0.0
148,Finger Lakes,22.035063595737366,11.235955056179774,35.271614384085694
149,Long Island,29.539988547432717,36.02379950718192,18.250313938886563
150,Mid-Hudson,30.64292779426311,38.722849695916594,5.198358413132695
151,Mohawk Valley,58.027079303675045,11.351351351351353,84.03614457831326
152,New York City,36.819997423012495,35.10240159479435,40.55735155706511
153,North Country,65.68047337278107,0.0,100.0
154,Southern Tier,54.49438202247191,88.18181818181819,0.0
155,Western NY,60.59730250481695,62.39554317548747,56.56250000000001
