,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,38.66493281317729,18.26086956521739,55.26729559748428
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",40.63807022663165,31.517596951356197,47.62886597938144
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,16.533720087019578,28.89733840304182,0.0
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
110,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
111,Putnam County PUMA,0.0,0.0,0.0
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,0.0,0.0
113,Suffolk County (Northwest)--Huntington Town (North) PUMA,35.77749683944374,0.0,100.0
114,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",81.49231894659839,0.0,100.0
115,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,15.647902697645408,15.86906584992343,15.495922125756382
116,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,100.0,#DIV/0!,100.0
117,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,29.292929292929294,35.995370370370374,15.602836879432624
118,Orange County (Northwest) PUMA,0.0,0.0,0.0
119,Nassau County (Central)--Hempstead Town (East Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
120,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
121,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,0.0,0.0
122,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0
123,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",36.95258776692001,37.83549783549783,36.318407960199
124,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,#DIV/0!,0.0
125,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,49.96400287976962,36.016949152542374,57.14285714285714
126,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
127,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",62.68811624286455,73.41772151898735,56.414473684210535
128,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",0.0,0.0,0.0
129,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",83.78378378378379,#DIV/0!,83.78378378378379
130,Nassau County (West Central)--North Hempstead Town (South) PUMA,10.775862068965516,0.0,16.33986928104575
131,Monroe County (Central)--Greece & Gates Towns PUMA,#DIV/0!,#DIV/0!,#DIV/0!
132,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",18.831127714810357,16.584615384615383,20.402453459593243
133,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",58.6679263108172,62.28528752800597,52.44215938303341
134,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",43.925838094211485,34.944532488114106,50.11837552358405
135,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,#DIV/0!,0.0
136,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,27.995110024449875,22.103303862261516,34.518289541473465
137,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
138,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,23.60103308326159,22.6293637038871,24.560117302052788
139,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",44.15025293294586,34.2159383033419,51.30531383077208
140,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
141,Suffolk County (East) PUMA,0.0,0.0,#DIV/0!
142,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",42.50221827861579,29.9660441426146,56.226765799256505
143,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",44.925808161102275,51.31139723414402,42.46927169326729
144,Suffolk County (Central)--Islip Town (Northwest) PUMA,21.48962148962149,26.78843226788432,0.0
145,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
146,Capital Region,52.97587131367292,56.896551724137936,49.54773869346734
147,Central NY,9.716386554621849,0.0,16.532618409294013
148,Finger Lakes,26.972477064220186,0.0,33.46613545816733
149,Long Island,23.077389616690926,15.974633851728823,27.84591991890522
150,Mid-Hudson,29.937658113480303,27.03632245616979,33.32354380812531
151,Mohawk Valley,28.584392014519054,28.598130841121495,28.57142857142857
152,New York City,30.3140797961655,27.137018133532514,32.74961231062865
153,North Country,20.610687022900763,0.0,23.684210526315788
154,Southern Tier,0.0,0.0,0.0
155,Western NY,64.09758802328805,61.68555240793201,65.6492027334852
