,puma,HSINC_Working_Poor_Total,HSINC_Working_Poor_M,HSINC_Working_Poor_F
102,Columbia & Greene Counties PUMA,51.80722891566265,51.80722891566265,#DIV/0!
103,Madison & Cortland Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
104,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,10.832025117739404,#DIV/0!,10.832025117739404
105,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,22.144112478031637,16.101694915254235,38.141025641025635
106,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",44.96,34.750784245381666,58.70483341154388
107,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,53.2258064516129,53.2258064516129,#DIV/0!
108,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
109,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
110,Livingston & Wyoming Counties PUMA,0.0,0.0,0.0
111,Putnam County PUMA,19.81132075471698,23.908918406072104,0.0
112,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",16.802168021680217,27.074235807860266,0.0
113,Suffolk County (Northwest)--Huntington Town (North) PUMA,45.64348521183054,36.18090452261307,62.1978021978022
114,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",45.20166898470097,44.34782608695652,45.36423841059602
115,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,63.60343439763885,65.4840777944005,60.432432432432435
116,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
117,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,47.68099547511312,52.75344180225282,0.0
118,Orange County (Northwest) PUMA,42.97872340425532,42.97872340425532,#DIV/0!
119,Nassau County (Central)--Hempstead Town (East Central) PUMA,0.0,0.0,0.0
120,Monroe County (North & West) PUMA,100.0,#DIV/0!,100.0
121,Suffolk County (Northwest)--Smithtown Town PUMA,0.0,0.0,0.0
122,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0.0,0.0,0.0
123,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",53.98230088495575,41.92100538599641,73.342939481268
124,Suffolk County (Central)--Brookhaven Town (Central) PUMA,0.0,#DIV/0!,0.0
125,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,30.858806404657933,34.44354183590577,0.0
126,Erie County (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
127,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",33.797054009819966,83.20610687022901,20.3125
128,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",23.15573770491803,23.15573770491803,#DIV/0!
129,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",0.0,0.0,#DIV/0!
130,Nassau County (West Central)--North Hempstead Town (South) PUMA,26.11901000526593,11.200000000000001,35.85726718885988
131,Monroe County (Central)--Greece & Gates Towns PUMA,50.51698670605613,100.0,0.0
132,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",24.621009452470126,20.345232109937992,29.483514389174765
133,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",29.599007854485325,40.17957351290685,0.0
134,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",45.15330413254618,47.707598589291436,41.41651031894934
135,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,0.0,#DIV/0!,0.0
136,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,62.73504273504273,63.14685314685315,62.34113712374582
137,NYC-Manhattan Community District 8--Upper East Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
138,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,41.04057464569986,39.20171062009979,44.9650136902951
139,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",40.72196309065098,13.85562777967841,79.83067729083665
140,Monroe County (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
141,Suffolk County (East) PUMA,0.0,0.0,#DIV/0!
142,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",49.40944881889764,49.45482866043614,49.331550802139034
143,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",42.27718152123192,42.98780487804878,41.45728643216081
144,Suffolk County (Central)--Islip Town (Northwest) PUMA,25.534121551545326,21.8989898989899,29.3691389599318
145,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,#DIV/0!,#DIV/0!,#DIV/0!
146,Capital Region,24.03924775143091,28.01608579088472,17.81970649895178
147,Central NY,32.20858895705521,25.77777777777778,72.62569832402235
148,Finger Lakes,24.914023691249522,42.857142857142854,14.772727272727273
149,Long Island,16.55527890621587,10.40352610380728,24.871584138072738
150,Mid-Hudson,36.02373887240356,34.99133877753031,38.67146181510472
151,Mohawk Valley,34.146341463414636,58.507462686567166,0.0
152,New York City,36.502458396369136,32.945382456452975,41.98297755508271
153,North Country,0.0,0.0,0.0
154,Southern Tier,0.0,0.0,0.0
155,Western NY,48.883374689826304,43.71980676328502,54.33673469387755
