,puma,HSINC_Rent_Burden_Total,HSINC_Rent_Burden_M,HSINC_Rent_Burden_F
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,28.07255008121278,30.56080655324512,26.198386331276698
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",#DIV/0!,#DIV/0!,#DIV/0!
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,43.294701986754966,0.0,60.67285382830626
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,37.13329902213073,30.52910052910053,43.38677354709419
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,58.07174887892377,#DIV/0!,58.07174887892377
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,11.363636363636363,0.0,16.26442812172088
146,Capital Region,0.0,0.0,0.0
147,Central NY,13.471283783783782,0.0,24.921875
148,Finger Lakes,12.630117973629423,0.0,16.977611940298505
149,Long Island,38.08139534883721,35.39061449509211,39.725577191685154
150,Mid-Hudson,39.892183288409704,39.11470525643754,40.89351788406194
151,Mohawk Valley,8.409090909090908,0.0,12.012987012987013
152,New York City,32.60386475831589,27.533247347257294,36.90030122694879
153,North Country,#DIV/0!,#DIV/0!,#DIV/0!
154,Southern Tier,0.0,0.0,0.0
155,Western NY,44.423742347617775,35.28505392912172,49.24766165107767
