,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
17,Westchester County (Northwest) PUMA,2281,1731,550,25288.206926786497,25333.911034084344,25144.363636363636
18,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,642,0,642,14425.856697819314,0.0,14425.856697819314
19,Onondaga County (Central)--Syracuse City PUMA,1086,733,353,38466.758747697975,42098.49931787176,30925.495750708214
20,Westchester County (Northeast) PUMA,171,85,86,52795.3216374269,88000.0,18000.0
21,Madison & Cortland Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
22,Erie County (West Central)--Buffalo City (West) PUMA,693,354,339,32881.818181818184,40047.457627118645,25399.11504424779
23,Monroe County (Central)--Rochester City (West) PUMA,492,262,230,23023.37398373984,24189.31297709924,21695.217391304348
24,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
25,Nassau County (Central)--Hempstead Town (East Central) PUMA,43,43,0,74000.0,74000.0,0.0
26,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",6260,3972,2288,25443.929712460063,27773.46424974824,21399.825174825175
27,St. Lawrence County PUMA,50,0,50,20000.0,0.0,20000.0
28,Columbia & Greene Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
29,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,890,422,468,39082.47191011236,41704.739336492894,36717.94871794872
30,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",2749,2040,709,35293.30665696617,40594.46078431373,20040.33850493653
31,Monroe County (North & West) PUMA,0,0,0,#DIV/0!,0.0,0.0
32,Schenectady County--Schenectady City PUMA,122,69,53,22262.29508196721,24000.0,20000.0
33,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",793,697,96,33904.16141235813,33064.562410329985,40000.0
34,Niagara County (North & East) PUMA,0,0,0,#DIV/0!,0.0,0.0
35,Suffolk County (Central)--Brookhaven Town (Central) PUMA,250,250,0,40000.0,40000.0,0.0
36,Suffolk County (East) PUMA,157,157,0,25000.0,25000.0,0.0
37,Warren & Washington Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
38,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,710,261,449,71307.60563380281,54712.64367816092,80954.12026726057
39,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",299,81,218,20418.060200668897,35000.0,15000.0
40,Westchester County (Central)--White Plains City PUMA,2158,1944,214,37746.06116774792,39919.753086419754,18000.0
41,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2375,1687,688,23810.02105263158,25912.62596324837,18654.36046511628
42,Erie County (North Central) PUMA,692,218,474,62398.84393063584,40504.5871559633,72468.35443037975
43,Chautauqua County PUMA,0,0,0,#DIV/0!,0.0,0.0
44,Dutchess County (Southwest) PUMA,75,75,0,32000.0,32000.0,0.0
45,Westchester County (Southeast) PUMA,295,295,0,16467.79661016949,16467.79661016949,0.0
46,Rockland County (North)--New City & Congers PUMA,252,0,252,24021.825396825396,0.0,24021.825396825396
47,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,2202,1079,1123,22271.071752951862,22464.318813716403,22085.39626001781
48,Suffolk County (Southwest)--Islip Town (South) PUMA,535,227,308,22214.953271028036,35000.0,12792.207792207791
49,Erie County (West Central)--Buffalo City (East) PUMA,578,428,150,18501.73010380623,19168.22429906542,16600.0
50,Wayne & Seneca Counties PUMA,555,555,0,29484.684684684686,29484.684684684686,0.0
51,Monroe County (South) PUMA,295,48,247,23806.77966101695,21000.0,24352.226720647774
52,Tompkins County PUMA,0,0,0,#DIV/0!,0.0,0.0
53,Suffolk County (South Central)--Brookhaven Town (South) PUMA,506,6,500,8201.581027667984,25000.0,8000.0
54,"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
55,NYC-Manhattan Community District 8--Upper East Side PUMA,11,11,0,20900.0,20900.0,0.0
56,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",105,0,105,50000.0,0.0,50000.0
57,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",5114,3645,1469,34404.575674618696,36454.86968449932,29317.22260040844
58,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,215,127,88,24596.74418604651,32791.33858267716,12770.454545454546
59,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",912,321,591,34872.80701754386,50753.894080996884,26247.038917089678
60,Suffolk County (Central)--Islip Town (Northwest) PUMA,2905,2404,501,20135.456110154904,21014.767054908487,15916.167664670658
61,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",1231,978,253,29256.37692932575,32116.564417177913,18200.0
62,Saratoga County (South & Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
63,Cattaraugus & Allegany Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
64,Genesee & Orleans Counties PUMA,20,0,20,18000.0,0.0,18000.0
65,Cayuga & Onondaga (South) Counties PUMA,16,16,0,10000.0,10000.0,0.0
66,Sullivan & Ulster (West) Counties PUMA,702,449,253,24954.415954415956,30000.0,16000.0
67,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",6733,3951,2782,22773.69374721521,23553.733232093142,21665.88066139468
68,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,310,0,310,20229.677419354837,0.0,20229.677419354837
69,NYC-Queens Community District 1--Astoria & Long Island City PUMA,869,605,264,22322.78481012658,25518.18181818182,15000.0
70,Jefferson & Lewis Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
71,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,474,474,0,54302.10970464135,54302.10970464135,0.0
72,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,7393,5346,2047,29235.127823616935,31514.796109240553,23281.485100146558
73,Orange County (Northeast)--Greater Newburgh City PUMA,1381,526,855,46061.18754525706,95307.98479087453,15764.327485380118
74,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1389,925,464,30674.154067674586,31662.054054054053,28704.741379310344
75,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2623,1605,1018,33023.90392680137,28675.202492211836,39880.157170923376
76,Erie County (Central) PUMA,79,33,46,23634.177215189873,28700.0,20000.0
77,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1435,848,587,29345.156794425086,37025.0,18250.59625212947
78,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2570,1767,803,34699.326848249024,39418.48896434635,24314.819427148195
79,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",2131,1172,959,15550.844673862037,21010.110921501706,8879.040667361834
80,NYC-Brooklyn Community District 5--East New York & Starrett City PUMA,920,264,656,36513.586956521736,49272.72727272727,31378.810975609755
81,Onondaga County (Central)--Syracuse City (Outer) PUMA,624,624,0,42919.8717948718,42919.8717948718,0.0
82,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,#DIV/0!,0.0,0.0
83,"Chenango, Delaware & Broome (East) Counties PUMA",20,20,0,13100.0,13100.0,0.0
84,Orange County (Northwest) PUMA,195,0,195,18300.0,0.0,18300.0
85,NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA,8253,6203,2050,31470.023021931418,29843.059809769467,36392.9756097561
86,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,851,768,83,29896.944770857815,29010.416666666668,38100.0
87,Dutchess County (North & East) PUMA,97,97,0,66000.0,66000.0,0.0
88,Putnam County PUMA,508,481,27,42200.7874015748,41875.25987525988,48000.0
89,Albany County (Outside Albany City) PUMA,190,91,99,19699.473684210527,16000.0,23100.0
90,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",1126,579,547,18696.891651865008,18423.834196891192,18985.923217550273
91,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,7426,5010,2416,29104.423646646916,33250.54890219561,20506.705298013247
92,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2590,1796,794,26118.27413127413,26862.082405345212,24435.80604534005
93,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,180,180,0,12000.0,12000.0,0.0
94,Suffolk County (Northwest)--Huntington Town (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
95,Oswego County PUMA,0,0,0,#DIV/0!,0.0,0.0
96,Rensselaer County--Troy City PUMA,45,45,0,8400.0,8400.0,0.0
97,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0
98,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
99,Monroe County (East) PUMA,139,139,0,28000.0,28000.0,0.0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",505,168,337,37635.64356435643,58952.380952380954,27008.902077151335
101,Erie County (South) PUMA,38,38,0,22842.105263157893,22842.105263157893,0.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,558,511,47,11149.820788530466,9600.0,28000.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,345,0,345,34000.0,0.0,34000.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,1022,899,123,38432.38747553816,41638.37597330367,15000.0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",9064,5752,3312,28141.979258605472,28200.417246175242,28040.489130434784
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,803,285,518,18213.698630136987,23000.0,15580.30888030888
107,Onondaga County (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,1544,1291,253,28443.976683937824,28053.91169635941,30434.387351778656
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",283,283,0,15000.0,15000.0,0.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,935,619,316,23508.235294117647,25990.630048465267,18645.569620253165
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",4414,2838,1576,26284.09605799728,30148.696264975333,19324.8730964467
112,Erie County (Northeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,461,298,163,25295.444685466377,30287.919463087248,16168.098159509202
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,9209,7012,2197,31070.604843088284,33312.464346834,23915.43013199818
115,Fulton & Montgomery Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,#DIV/0!,0.0,0.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,2796,1439,1357,23737.19957081545,28983.738707435718,18173.625644804717
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",672,96,576,23063.095238095237,20900.0,23423.61111111111
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",110,60,50,12090.90909090909,13000.0,11000.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,2046,1461,585,34285.87487781036,34682.61464750171,33295.042735042734
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1394,893,501,84711.26255380201,40153.97536394177,164131.7365269461
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,663,0,663,21981.900452488688,0.0,21981.900452488688
124,Orange County (Southeast) PUMA,297,297,0,40813.131313131315,40813.131313131315,0.0
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,272,272,0,500.0,500.0,0.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,53,0,53,64000.0,0.0,64000.0
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",413,224,189,30713.31719128329,36258.92857142857,24140.74074074074
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2439,1641,798,36848.50348503485,40834.85679463742,28651.002506265664
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2223,1064,1159,23182.68106162843,22120.48872180451,24157.808455565144
130,Westchester County (Southwest)--Yonkers City PUMA,2521,1561,960,27870.28956763189,28818.705957719412,26328.125
131,Broome (Outer West) & Tioga Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,2546,1862,684,23877.769049489394,23292.32008592911,25471.491228070176
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2490,1479,1011,40241.6546184739,50513.99594320487,25214.16419386746
134,NYC-Manhattan Community District 10--Central Harlem PUMA,1605,1227,378,26010.218068535825,28477.913610431948,18000.0
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1642,1082,560,27164.372716199756,25843.715341959334,29716.071428571428
136,Erie County (Northwest) PUMA,0,0,0,#DIV/0!,0.0,0.0
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,2395,1783,612,25857.787056367433,27588.951205832866,20814.21568627451
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",441,375,66,27310.884353741498,31061.6,6000.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,97,34,63,28855.670103092783,36000.0,25000.0
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,286,286,0,77412.58741258741,77412.58741258741,0.0
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,421,184,237,24370.546318289787,30000.0,20000.0
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,5808,3734,2074,28430.37534435262,27353.923406534548,30368.404050144647
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,187,0,187,20000.0,0.0,20000.0
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,1414,1028,386,33542.61669024045,34812.50972762646,30160.621761658032
146,Capital Region,945,763,182,26669.73544973545,27976.40891218873,21191.75824175824
147,Central NY,1726,1373,353,39812.80417149478,42097.742170429716,30925.495750708214
148,Finger Lakes,2458,1704,754,23004.841334418226,23192.605633802817,22580.50397877984
149,Long Island,18110,12098,6012,27725.917172832687,31454.923127789716,20222.005988023953
150,Mid-Hudson,13792,10169,3623,37677.63196055684,43281.93529353919,21947.52967154292
151,Mohawk Valley,677,344,333,21960.709010339735,18767.441860465115,25259.45945945946
152,New York City,128489,82966,45523,29130.24718069251,30842.542969409154,26009.575599147684
153,North Country,143,39,104,22299.3006993007,31200.0,18961.53846153846
154,Southern Tier,403,106,297,23202.233250620346,18049.056603773584,25041.41414141414
155,Western NY,2080,1071,1009,38171.25,30836.507936507936,45956.68979187314
