,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
99,Monroe County (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
100,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",940,737,203,33601.64893617021,33573.337856173675,33704.43349753695
101,Erie County (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
102,Monroe County (Central)--Greece & Gates Towns PUMA,40,40,0,120000.0,120000.0,0.0
103,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,530,530,0,87386.7924528302,87386.7924528302,0.0
104,NYC-Manhattan Community District 11--East Harlem PUMA,1320,1118,202,25889.848484848484,26954.02504472272,20000.0
105,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",3295,2439,856,45541.24430955994,33659.942599425995,79394.6261682243
106,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1005,623,382,43217.611940298506,58532.90529695024,18240.052356020944
107,Onondaga County (North) PUMA,431,246,185,39919.25754060325,21302.032520325203,64675.13513513513
108,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2372,1380,992,35823.58768971332,39285.47101449275,31007.66129032258
109,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",231,231,0,15000.0,15000.0,0.0
110,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,578,416,162,23934.256055363323,25466.346153846152,20000.0
111,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1425,757,668,33552.771929824565,38546.895640686926,27893.263473053892
112,Erie County (Northeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
113,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,580,433,147,41335.1724137931,39315.93533487298,47282.99319727891
114,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,6135,4700,1435,44237.294213528934,46761.70212765958,35969.19860627178
115,Fulton & Montgomery Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
116,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,136,0,136,24000.0,0.0,24000.0
117,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",442,384,58,22676.470588235294,23382.8125,18000.0
118,NYC-Brooklyn Community District 4--Bushwick PUMA,1232,861,371,26325.64935064935,28168.64111498258,22048.517520215635
119,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",167,73,94,55329.341317365266,30000.0,75000.0
120,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",123,0,123,30000.0,0.0,30000.0
121,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,195,82,113,44179.48717948718,21000.0,61000.0
122,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1431,1059,372,102033.12368972746,122950.33050047215,42486.55913978495
123,Suffolk County (Northwest)--Huntington Town (North) PUMA,305,305,0,87803.27868852459,87803.27868852459,0.0
124,Orange County (Southeast) PUMA,574,121,453,36731.70731707317,91388.42975206612,22132.450331125827
125,Nassau County (East Central)--Oyster Bay Town (Central) PUMA,863,728,135,56171.49478563152,54905.21978021978,63000.0
126,Suffolk County (Northwest)--Smithtown Town PUMA,130,130,0,100000.0,100000.0,0.0
127,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",1064,303,761,22216.353383458645,13851.485148514852,25546.911957950066
128,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",2347,1533,814,32381.891776736258,27418.98238747554,41728.50122850123
129,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,1738,1477,261,33171.34637514385,32831.27962085308,35095.78544061303
130,Westchester County (Southwest)--Yonkers City PUMA,3231,2726,505,38730.60971835345,41231.03448275862,25233.26732673267
131,Broome (Outer West) & Tioga Counties PUMA,37,37,0,24300.0,24300.0,0.0
132,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1308,749,559,34075.152905198775,33363.41789052069,35028.80143112701
133,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1306,963,343,39684.3797856049,41527.51817237798,34509.62099125364
134,NYC-Manhattan Community District 10--Central Harlem PUMA,1911,1698,213,37293.04029304029,37348.05653710247,36854.46009389671
135,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1154,602,552,47165.7712305026,43457.308970099664,51210.14492753623
136,Erie County (Northwest) PUMA,91,91,0,40000.0,40000.0,0.0
137,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,3610,2371,1239,34132.99168975069,34257.10670603121,33895.4802259887
138,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,737,737,0,49376.3907734057,49376.3907734057,0.0
139,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",901,495,406,43518.31298557159,30000.0,60000.0
140,Nassau County (West Central)--Hempstead Town (West Central) PUMA,439,439,0,33468.56492027335,33468.56492027335,0.0
141,Nassau County (Central)--Hempstead Town (Northeast) PUMA,566,330,236,64383.39222614841,82342.42424242424,39271.186440677964
142,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,691,385,306,11525.325615050651,17109.090909090908,4500.0
143,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2349,2119,230,36378.6717752235,37278.669183577156,28086.956521739132
144,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,284,284,0,38150.704225352114,38150.704225352114,0.0
145,Nassau County (West Central)--North Hempstead Town (South) PUMA,1975,1391,584,42586.53164556962,47886.3407620417,29963.18493150685
146,Capital Region,965,574,391,#DIV/0!,176788.28125,185200.0
147,Central NY,758,449,309,#DIV/0!,198075.577837219,95875.13513513513
148,Finger Lakes,1437,878,559,#DIV/0!,273755.43062579015,47506.95187165776
149,Long Island,23274,16912,6362,1170940.6370014653,1198093.485411409,512668.86177169706
150,Mid-Hudson,15396,11235,4161,688547.4634255501,746375.8492284548,393216.4420990216
151,Mohawk Valley,629,354,275,#DIV/0!,35918.0790960452,70977.81818181818
152,New York City,76271,52898,23373,#DIV/0!,2025311.3666975882,1669460.9109655968
153,North Country,101,0,101,#DIV/0!,0.0,31831.68316831683
154,Southern Tier,1368,805,563,#DIV/0!,524103.9163961039,67000.0
155,Western NY,1641,515,1126,#DIV/0!,162288.19875776398,54467.879581151836
