,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
30,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,2012,1045,967,36322.27634194831,48439.138755980865,23228.04550155119
31,Cayuga & Onondaga (South) Counties PUMA,96,96,0,32600.0,32600.0,0.0
32,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
33,Fulton & Montgomery Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
34,Onondaga County (Central)--Syracuse City (Outer) PUMA,146,146,0,18000.0,18000.0,0.0
35,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,263,212,51,25406.84410646388,16603.77358490566,62000.0
36,Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA,0,0,0,#DIV/0!,0.0,0.0
37,Suffolk County (Central)--Brookhaven Town (Central) PUMA,540,540,0,49767.03703703704,49767.03703703704,0.0
38,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",4712,3309,1403,21585.314091680815,24495.406467210636,14721.810406272274
39,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,5892,4085,1807,24641.695519348268,26357.233782129744,20763.458771444384
40,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",1018,1018,0,31386.836935166993,31386.836935166993,0.0
41,Suffolk County (Central)--Islip Town (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
42,"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA",1092,84,1008,28407.69230769231,33800.0,27958.333333333332
43,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA",11322,8186,3136,23632.812223988694,22579.354996335205,26382.684948979593
44,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,12323,9423,2900,26938.29343504017,27354.63228271251,25585.47931034483
45,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0
46,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",1311,1261,50,18154.996186117467,15623.473433782712,82000.0
47,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",2561,2054,507,24333.268254588053,24853.407984420643,22226.03550295858
48,Wayne & Seneca Counties PUMA,197,197,0,37398.9847715736,37398.9847715736,0.0
49,Schenectady County--Schenectady City PUMA,240,53,187,16350.416666666666,17000.0,16166.310160427807
50,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1675,1294,381,16483.5223880597,17726.043276661516,12263.517060367454
51,Nassau County (Northwest)--North Hempstead Town (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
52,Suffolk County (West Central)--Babylon Town (Northwest) PUMA,1356,513,843,30774.33628318584,23419.103313840154,35250.2965599051
53,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1284,1167,117,26044.6261682243,22189.203084832905,64500.0
54,Columbia & Greene Counties PUMA,170,170,0,31600.0,31600.0,0.0
55,Rensselaer County--Troy City PUMA,113,113,0,15600.0,15600.0,0.0
56,Erie County (West Central)--Buffalo City (West) PUMA,572,448,124,21428.671328671328,24575.0,10061.290322580646
57,Erie County (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
58,Oneida County (Central)--Greater Utica & Rome Cities PUMA,496,164,332,17725.40322580645,28456.09756097561,12424.698795180722
59,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",9846,4899,4947,24301.20861263457,28918.309859154928,19728.906407923994
60,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,2364,1697,667,28776.269035532994,33015.38008249853,17991.004497751124
61,NYC-Manhattan Community District 10--Central Harlem PUMA,383,311,72,75900.78328981723,90000.0,15000.0
62,Nassau County (West Central)--North Hempstead Town (South) PUMA,1294,837,457,68178.82534775889,100714.93428912784,8588.621444201313
63,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,349,349,0,23000.0,23000.0,0.0
64,Albany County (East Central)--Albany City PUMA,117,57,60,37000.0,57000.0,18000.0
65,Nassau County (West Central)--Hempstead Town (West Central) PUMA,1237,1062,175,27894.421988682298,29338.418079096045,19131.428571428572
66,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0
67,"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA",3382,2073,1309,22773.211117681843,21045.53786782441,25509.243697478993
68,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",4891,3520,1371,21300.490697198937,22493.295454545456,18238.001458789204
69,"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA",1819,915,904,26004.562946673996,33510.49180327869,18407.300884955752
70,Erie County (Northeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
71,NYC-Manhattan Community District 11--East Harlem PUMA,1165,1165,0,48853.991416309014,48853.991416309014,0.0
72,Orange County (Southeast) PUMA,254,254,0,14000.0,14000.0,0.0
73,Westchester County (Southeast) PUMA,1816,836,980,23136.563876651984,29749.76076555024,17495.102040816328
74,NYC-Queens Community District 1--Astoria & Long Island City PUMA,1709,839,870,35172.27618490345,31441.239570917758,38770.36781609195
75,Livingston & Wyoming Counties PUMA,75,27,48,18400.0,20000.0,17500.0
76,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,120,0,120,17000.0,0.0,17000.0
77,Westchester County (Southwest)--Yonkers City PUMA,1483,1353,130,38515.171948752526,39429.416112342944,29000.0
78,Erie County (North Central) PUMA,81,0,81,19000.0,0.0,19000.0
79,Saratoga County (South & Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
80,Suffolk County (South Central)--Brookhaven Town (South) PUMA,553,289,264,15549.005424954792,6002.076124567474,26000.0
81,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",0,0,0,#DIV/0!,0.0,0.0
82,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
83,Niagara County (North & East) PUMA,19,19,0,38400.0,38400.0,0.0
84,Monroe County (Central)--Rochester City (East) PUMA,427,328,99,23026.932084309134,24626.524390243903,17727.272727272728
85,Warren & Washington Counties PUMA,29,29,0,31600.0,31600.0,0.0
86,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,1077,847,230,14708.635097493036,14901.062573789846,14000.0
87,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,307,158,149,10514.657980456026,11000.0,10000.0
88,Onondaga County (Central)--Syracuse City PUMA,923,511,412,25217.65980498375,27544.227005870842,22332.038834951458
89,Westchester County (Central)--White Plains City PUMA,2038,1518,520,21317.36997055937,23549.934123847168,14800.0
90,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,1188,914,274,22453.872053872055,24596.280087527353,15307.299270072992
91,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",6467,5054,1413,31891.23241070048,33188.82073605065,27250.035385704177
92,Cattaraugus & Allegany Counties PUMA,48,26,22,36887.5,45000.0,27300.0
93,Oswego County PUMA,13,13,0,27000.0,27000.0,0.0
94,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",2739,2054,685,34254.12924424973,37183.670886075946,25469.781021897812
95,Monroe County (East) PUMA,0,0,0,#DIV/0!,0.0,0.0
96,Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA,1966,1561,405,40124.72024415056,33100.70467648943,67197.53086419753
97,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",556,556,0,94856.11510791368,94856.11510791368,0.0
98,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",2954,2218,736,20109.106296547056,21817.989179440938,14959.239130434782
99,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",193,42,151,24778.23834196891,15600.0,27331.12582781457
100,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1284,1077,207,33048.20872274143,33137.88300835655,32581.642512077295
101,"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA",0,0,0,#DIV/0!,0.0,0.0
102,Chautauqua County PUMA,220,127,93,32536.363636363636,30000.0,36000.0
103,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,718,209,509,30576.601671309192,31272.727272727272,30290.766208251473
104,Erie County (West Central)--Buffalo City (East) PUMA,98,98,0,27000.0,27000.0,0.0
105,Genesee & Orleans Counties PUMA,187,65,122,23855.614973262032,38600.0,16000.0
106,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1582,1057,525,26524.462705436155,30020.151371807002,19486.47619047619
107,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",68,0,68,13000.0,0.0,13000.0
108,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,205,0,205,24463.414634146342,0.0,24463.414634146342
109,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",4570,3364,1206,19799.439824945297,23938.70392390012,8253.432835820895
110,Suffolk County (East) PUMA,327,327,0,25648.318042813455,25648.318042813455,0.0
111,Orange County (Northwest) PUMA,74,74,0,40000.0,40000.0,0.0
112,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,0,0,0,#DIV/0!,0.0,0.0
113,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",1592,1154,438,21464.510050251258,23282.75563258232,16673.972602739726
114,Suffolk County (Northwest)--Smithtown Town PUMA,51,0,51,120000.0,0.0,120000.0
115,Ulster County (East) PUMA,157,157,0,34197.64331210191,34197.64331210191,0.0
116,Westchester County (Northeast) PUMA,891,891,0,25405.27497194164,25405.27497194164,0.0
117,NYC-Brooklyn Community District 4--Bushwick PUMA,3811,2317,1494,25416.767252689584,32270.738023306,14787.14859437751
118,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,3453,2202,1251,27950.709527946714,33747.68392370572,17746.922462030376
119,Dutchess County (North & East) PUMA,43,43,0,3900.0,3900.0,0.0
120,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,8239,5131,3108,33594.96298094429,34881.251218086145,31471.428571428572
121,Broome (Outer West) & Tioga Counties PUMA,97,97,0,27300.0,27300.0,0.0
122,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",395,181,214,17708.86075949367,15000.0,20000.0
123,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",146,0,146,26100.0,0.0,26100.0
124,Orange County (Northeast)--Greater Newburgh City PUMA,274,203,71,36663.50364963504,42561.576354679804,19800.0
125,"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA",815,286,529,8954.601226993866,10000.0,8389.413988657845
126,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,321,96,225,15168.224299065421,12000.0,16520.0
127,Onondaga County (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
128,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,157,69,88,230955.41401273885,500000.0,20000.0
129,Monroe County (North & West) PUMA,0,0,0,#DIV/0!,0.0,0.0
130,Sullivan & Ulster (West) Counties PUMA,376,217,159,43499.734042553195,47822.58064516129,37600.0
131,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,463,216,247,29076.889848812094,20016.666666666668,37000.0
132,Suffolk County (Northwest)--Huntington Town (North) PUMA,1309,1195,114,41158.74713521772,38979.74895397489,64000.0
133,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2677,2140,537,29240.791931266343,31081.40186915888,21905.772811918065
134,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA",672,611,61,47619.494047619046,22422.749590834697,300000.0
135,Monroe County (Central)--Rochester City (West) PUMA,803,697,106,26314.445828144457,27274.74892395983,20000.0
136,NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA,1340,987,353,38110.89552238806,40959.878419452885,30145.042492917848
137,Suffolk County (Central)--Islip Town (Northwest) PUMA,5136,3372,1764,22755.634735202493,24528.05456702254,19367.539682539682
138,Putnam County PUMA,422,422,0,28768.483412322275,28768.483412322275,0.0
139,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,3519,2858,661,25448.19551008809,26553.32400279916,20669.894099848712
140,Nassau County (Central)--Hempstead Town (East Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
141,Suffolk County (Northwest)--Huntington Town (South) PUMA,302,212,90,35880.79470198676,45000.0,14400.0
142,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",5531,3848,1683,22508.316760079553,19425.155925155927,29557.635175282234
143,Nassau County (Central)--Hempstead Town (Northeast) PUMA,354,0,354,40972.03389830508,0.0,40972.03389830508
144,NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA,2018,680,1338,24820.911793855303,38732.35294117647,17750.822122571
145,"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA",721,721,0,31340.08321775312,31340.08321775312,0.0
146,Capital Region,669,422,247,24371.150971599403,28912.796208530806,16611.74089068826
147,Central NY,1178,766,412,24944.39728353141,26349.477806788513,22332.038834951458
148,Finger Lakes,2909,1602,1307,22466.723960123752,26831.71036204744,17116.526396327467
149,Long Island,26409,16853,9556,32749.776212654775,35021.19503945885,28743.892842193385
150,Mid-Hudson,15165,11510,3655,30061.637322782724,31519.92441355343,25469.329685362518
151,Mohawk Valley,517,185,332,17626.88588007737,26962.702702702703,12424.698795180722
152,New York City,155555,106681,48874,26405.213718620424,28525.58918645307,21776.90878585751
153,North Country,169,58,111,16663.905325443786,35710.34482758621,6711.711711711711
154,Southern Tier,178,110,68,22647.752808988764,28611.81818181818,13000.0
155,Western NY,1038,718,320,25144.89402697495,26971.030640668523,21047.5
