,puma,HSINC_FT_Work_Total,HSINC_FT_Work_M,HSINC_FT_Work_F
33,Schenectady County--Schenectady City PUMA,68.34532374100719,68.34532374100719,#DIV/0!
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,80.57170542635659,95.25401069518716,41.901408450704224
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",#DIV/0!,#DIV/0!,#DIV/0!
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,48.85588117221999,76.93333333333334,6.357214934409687
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,73.89997267012845,77.66624843161857,66.7981072555205
38,Erie County (Northeast) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
39,Monroe County (North & West) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,100.0,100.0,100.0
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",82.41438356164383,85.94559585492227,78.45203488372093
42,Erie County (West Central)--Buffalo City (East) PUMA,0.0,#DIV/0!,0.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,100.0,#DIV/0!,100.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,72.744151503899,100.0,50.30467163168585
45,NYC-Manhattan Community District 8--Upper East Side PUMA,100.0,100.0,#DIV/0!
46,Suffolk County (Southwest)--Islip Town (South) PUMA,65.18218623481782,100.0,0.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",59.637561779242176,100.0,43.54838709677419
48,Erie County (South) PUMA,0.0,#DIV/0!,0.0
49,Albany County (Outside Albany City) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,62.999185004074974,79.57124842370744,32.71889400921659
51,Erie County (North Central) PUMA,48.199445983379505,48.199445983379505,#DIV/0!
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",100.0,100.0,#DIV/0!
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",81.69117157873728,92.68765133171912,68.27647319450598
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,47.61904761904761,47.61904761904761,#DIV/0!
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",91.10851126060253,100.0,77.9869659666908
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",70.48158640226629,84.1304347826087,55.62130177514793
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",76.88696280245576,90.78880407124682,42.91044776119403
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,100.0,#DIV/0!,100.0
59,Albany County (East Central)--Albany City PUMA,42.49201277955272,9.6579476861167,79.41176470588235
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,73.96403440187646,67.37491432488005,82.7115559599636
61,Rensselaer County--Troy City PUMA,100.0,100.0,#DIV/0!
62,Warren & Washington Counties PUMA,0.0,#DIV/0!,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,95.7977207977208,100.0,76.77165354330708
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",65.16220028208744,100.0,0.0
65,Fulton & Montgomery Counties PUMA,100.0,#DIV/0!,100.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,71.21760670731707,76.52671755725191,65.92465753424658
67,Monroe County (Central)--Rochester City (East) PUMA,76.59574468085107,87.03703703703704,70.11494252873564
68,Chautauqua County PUMA,100.0,100.0,#DIV/0!
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,86.46408839779005,100.0,0.0
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",100.0,100.0,#DIV/0!
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,63.7125748502994,59.882005899705014,66.33064516129032
72,Monroe County (Central)--Rochester City (West) PUMA,47.70318021201413,#DIV/0!,47.70318021201413
73,Orange County (Southeast) PUMA,100.0,100.0,#DIV/0!
74,Rockland County (North)--New City & Congers PUMA,59.845830413454806,100.0,57.078651685393254
75,Westchester County (Southeast) PUMA,78.38033261026753,88.58954041204437,56.24284077892325
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",65.76151121605666,86.37110016420363,54.19354838709678
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,41.895261845386536,#DIV/0!,41.895261845386536
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,86.1048122952885,92.15911264104035,74.4186046511628
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",91.78551055333713,100.0,80.13793103448276
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
81,Wayne & Seneca Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",74.44759206798867,81.60770031217481,65.88930348258707
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,28.674948240165634,100.0,0.0
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,63.35825968728756,70.6601466992665,54.211332312404295
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",82.85714285714286,63.049853372434015,100.0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,100.0,100.0,100.0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,75.15695067264573,91.46757679180887,57.088846880907376
88,Livingston & Wyoming Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",61.27527216174183,100.0,40.85510688836104
90,Cattaraugus & Allegany Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
92,Orange County (Northwest) PUMA,100.0,100.0,100.0
93,Columbia & Greene Counties PUMA,100.0,100.0,#DIV/0!
94,Suffolk County (East) PUMA,88.83205456095482,82.87581699346406,100.0
95,Monroe County (East) PUMA,48.70967741935484,0.0,100.0
96,Sullivan & Ulster (West) Counties PUMA,100.0,100.0,#DIV/0!
97,Cayuga & Onondaga (South) Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",64.35481673252487,67.22817764165391,61.06401636948261
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,100.0,100.0,100.0
100,Onondaga County (Central)--Syracuse City PUMA,84.83709273182957,100.0,78.0399274047187
101,Ulster County (East) PUMA,33.19672131147541,33.19672131147541,#DIV/0!
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,81.1690859160455,94.07407407407408,69.41529235382309
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,54.82666666666667,64.18554476806904,45.675105485232066
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,100.0,100.0,100.0
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,93.63636363636364,100.0,0.0
106,Saratoga County (Outer) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",0.0,#DIV/0!,0.0
108,NYC-Brooklyn Community District 4--Bushwick PUMA,87.5219683655536,84.23882286361064,91.77981651376147
109,Suffolk County (Central)--Islip Town (East) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
110,Westchester County (Southwest)--Yonkers City PUMA,65.66794942275975,76.86354378818737,42.43448858833474
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,82.88508557457213,100.0,78.52760736196319
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",83.14454009968283,91.79536679536679,75.49103330486764
113,Jefferson & Lewis Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,100.0,100.0,100.0
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,100.0,100.0,100.0
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,86.51685393258427,100.0,77.40585774058577
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",47.411285631180924,52.54674403610574,0.0
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,#DIV/0!,#DIV/0!,#DIV/0!
119,Monroe County (Central)--Greece & Gates Towns PUMA,71.97452229299363,100.0,50.0
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,80.29590948651001,81.04177683765204,78.85888945491595
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",80.27036901717209,100.0,63.61185983827493
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,73.31622835150738,83.85490753911806,57.426273458445046
123,Broome (Outer West) & Tioga Counties PUMA,#DIV/0!,#DIV/0!,#DIV/0!
124,Putnam County PUMA,100.0,100.0,#DIV/0!
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",0.0,#DIV/0!,0.0
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",72.85198555956678,92.86821705426357,55.4054054054054
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,100.0,100.0,#DIV/0!
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,100.0,100.0,100.0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,84.5223700120919,100.0,36.633663366336634
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",80.88129925961309,91.06194690265487,68.94135962636221
131,NYC-Manhattan Community District 11--East Harlem PUMA,63.744520976831566,100.0,35.23489932885906
132,Westchester County (Northwest) PUMA,85.1379489849037,91.75600739371535,69.39313984168865
133,Onondaga County (North) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,53.116531165311656,53.116531165311656,#DIV/0!
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,65.06262359920896,67.71130104463438,59.05172413793104
136,Genesee & Orleans Counties PUMA,100.0,100.0,#DIV/0!
137,Westchester County (Central)--White Plains City PUMA,58.71212121212122,83.82022471910112,40.42553191489361
138,Saratoga County (South & Central) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
139,Monroe County (South) PUMA,100.0,#DIV/0!,100.0
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,81.75282437521398,88.19047619047619,74.21991084695394
141,St. Lawrence County PUMA,#DIV/0!,#DIV/0!,#DIV/0!
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,100.0,100.0,100.0
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,73.00991433246703,91.56605726112453,49.57525593552603
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",89.60492714435932,97.53608760577401,77.5293671845396
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,#DIV/0!,#DIV/0!,#DIV/0!
146,Capital Region,49.13614374568071,42.20398593200469,59.09090909090909
147,Central NY,79.06215921483097,77.67295597484278,79.79966611018364
148,Finger Lakes,73.07692307692307,72.59887005649718,73.32361516034986
149,Long Island,78.72577722013105,91.07546781821921,64.08944129653324
150,Mid-Hudson,77.61182856073367,87.9552592429335,55.6969413962176
151,Mohawk Valley,97.84688995215312,96.80851063829788,100.0
152,New York City,76.20203835417287,85.82965770019258,63.50237643698344
153,North Country,100.0,100.0,#DIV/0!
154,Southern Tier,82.66666666666667,100.0,79.25531914893617
155,Western NY,60.495195861049524,67.20047449584816,49.411764705882355
