,puma,Total_HSINC,Total_HSINC_m,Total_HSINC_f,HSINC_Avg_PINCP_mf_t,HSINC_Avg_PINCP_m,HSINC_Avg_PINCP_f
30,"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA",1558,872,686,27441.142490372273,31146.559633027522,22731.049562682216
31,NYC-Queens Community District 1--Astoria & Long Island City PUMA,2677,2064,613,39494.09787075084,42263.517441860466,30169.331158238172
32,Erie County (West Central)--Buffalo City (West) PUMA,52,0,52,45000.0,0.0,45000.0
33,Schenectady County--Schenectady City PUMA,588,588,0,22217.34693877551,22217.34693877551,0.0
34,NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA,211,0,211,35568.72037914692,0.0,35568.72037914692
35,"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA",0,0,0,#DIV/0!,0.0,0.0
36,NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA,1084,907,177,28415.61808118081,28691.874310915104,27000.0
37,Suffolk County (Northwest)--Huntington Town (North) PUMA,1560,1468,92,25870.615384615383,26038.256130790192,23195.652173913044
38,Erie County (Northeast) PUMA,0,0,0,#DIV/0!,0.0,0.0
39,Monroe County (North & West) PUMA,0,0,0,#DIV/0!,0.0,0.0
40,Oneida County (Central)--Greater Utica & Rome Cities PUMA,736,439,297,28268.885869565216,30628.70159453303,24780.80808080808
41,"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA",1236,1192,44,47100.40453074434,47336.661073825504,40700.0
42,Erie County (West Central)--Buffalo City (East) PUMA,128,46,82,28268.75,48000.0,17200.0
43,Suffolk County (Northwest)--Smithtown Town PUMA,0,0,0,#DIV/0!,0.0,0.0
44,Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA,1766,1383,383,66067.72366930917,79979.75415762834,15831.853785900783
45,NYC-Manhattan Community District 8--Upper East Side PUMA,0,0,0,#DIV/0!,0.0,0.0
46,Suffolk County (Southwest)--Islip Town (South) PUMA,1045,645,400,45090.90909090909,49071.007751937985,38673.0
47,"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA",157,157,0,19000.0,19000.0,0.0
48,Erie County (South) PUMA,0,0,0,#DIV/0!,0.0,0.0
49,Albany County (Outside Albany City) PUMA,126,126,0,35000.0,35000.0,0.0
50,NYC-Staten Island Community District 2--New Springville & South Beach PUMA,1098,543,555,30063.75227686703,37160.22099447514,23120.72072072072
51,Erie County (North Central) PUMA,197,0,197,9000.0,0.0,9000.0
52,"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA",345,278,67,46373.04347826087,57284.17266187051,1100.0
53,"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA",3420,2137,1283,26692.795321637426,22741.488067384184,33274.20109119252
54,NYC-Manhattan Community District 7--Upper West Side & West Side PUMA,115,115,0,57000.0,57000.0,0.0
55,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA",1947,1377,570,42527.73497688752,44580.97312999274,37567.54385964912
56,"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA",967,760,207,41179.4208893485,42550.13157894737,36146.85990338164
57,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA",2590,1456,1134,24888.04633204633,28905.728021978022,19729.541446208113
58,Suffolk County (North Central)--Brookhaven Town (North) PUMA,0,0,0,#DIV/0!,0.0,0.0
59,Albany County (East Central)--Albany City PUMA,69,69,0,17000.0,17000.0,0.0
60,NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA,519,379,140,34534.79768786127,32146.5963060686,41000.0
61,Rensselaer County--Troy City PUMA,363,363,0,5264.683195592286,5264.683195592286,0.0
62,Warren & Washington Counties PUMA,64,64,0,20000.0,20000.0,0.0
63,Orange County (Northeast)--Greater Newburgh City PUMA,884,669,215,57213.800904977375,52139.0134529148,73004.6511627907
64,"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA",675,362,313,38241.333333333336,58077.34806629834,15300.0
65,Fulton & Montgomery Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
66,NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA,2401,1949,452,29808.49645980841,31045.407901487943,24475.0
67,Monroe County (Central)--Rochester City (East) PUMA,444,290,154,35722.97297297297,17520.689655172413,70000.0
68,Chautauqua County PUMA,61,61,0,32000.0,32000.0,0.0
69,Nassau County (Northwest)--North Hempstead Town (North) PUMA,126,38,88,22396.825396825396,53789.47368421053,8840.90909090909
70,"Clinton, Franklin, Essex & Hamilton Counties PUMA",92,45,47,41956.52173913043,44000.0,40000.0
71,NYC-Queens Community District 6--Forest Hills & Rego Park PUMA,855,613,242,32797.89473684211,32435.073409461664,33716.94214876033
72,Monroe County (Central)--Rochester City (West) PUMA,61,61,0,38000.0,38000.0,0.0
73,Orange County (Southeast) PUMA,326,326,0,42030.67484662577,42030.67484662577,0.0
74,Rockland County (North)--New City & Congers PUMA,960,503,457,20216.041666666668,23401.59045725646,16709.84682713348
75,Westchester County (Southeast) PUMA,2028,1705,323,31503.698224852073,32822.17008797654,24543.962848297215
76,"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA",2365,1059,1306,20912.854122621564,20473.087818696884,21269.448698315467
77,Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA,709,709,0,27234.13258110014,27234.13258110014,0.0
78,NYC-Queens Community District 2--Sunnyside & Woodside PUMA,3364,2470,894,41545.838287752675,47813.76518218624,24228.41163310962
79,"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA",868,868,0,32037.78801843318,32037.78801843318,0.0
80,Onondaga County (Central)--Syracuse City (Outer) PUMA,143,71,72,35468.531468531466,40000.0,31000.0
81,Wayne & Seneca Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
82,"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA",2275,1552,723,28019.546373626374,34058.2912371134,15056.7081604426
83,Nassau County (West Central)--Hempstead Town (Northwest) PUMA,930,767,163,38444.30107526882,40440.93872229465,29049.079754601225
84,NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA,1995,1047,948,23928.220551378447,25676.026743075454,21997.89029535865
85,"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA",272,272,0,59400.0,59400.0,0.0
86,Suffolk County (South Central)--Brookhaven Town (South) PUMA,569,569,0,33639.367311072056,33639.367311072056,0.0
87,NYC-Queens Community District 4--Elmhurst & South Corona PUMA,3829,2873,956,32731.723687646907,32998.2492168465,31930.753138075313
88,Livingston & Wyoming Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
89,"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA",909,570,339,20054.565456545653,24012.280701754386,13400.0
90,Cattaraugus & Allegany Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
91,Herkimer (North & Central) & Oneida (Outer) Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
92,Orange County (Northwest) PUMA,221,221,0,57151.13122171946,57151.13122171946,0.0
93,Columbia & Greene Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
94,Suffolk County (East) PUMA,1286,914,372,23142.13063763608,27148.884026258205,13297.58064516129
95,Monroe County (East) PUMA,215,215,0,41576.74418604651,41576.74418604651,0.0
96,Sullivan & Ulster (West) Counties PUMA,31,31,0,41600.0,41600.0,0.0
97,Cayuga & Onondaga (South) Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
98,"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA",2122,1168,954,27805.93779453346,25233.219178082192,30955.765199161426
99,Suffolk County (Southwest)--Babylon Town (Southeast) PUMA,957,712,245,40317.65935214211,46303.370786516854,22922.448979591838
100,Onondaga County (Central)--Syracuse City PUMA,570,338,232,21956.666666666668,26517.751479289942,15311.637931034482
101,Ulster County (East) PUMA,910,473,437,22006.153846153848,17999.154334038056,26343.24942791762
102,NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA,2842,2104,738,32290.70021111893,35102.742395437264,24273.71273712737
103,NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA,1438,1308,130,37519.64534075104,36720.98623853211,45555.38461538462
104,Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA,101,101,0,149000.0,149000.0,0.0
105,Nassau County (South Central)--Hempstead Town (Southeast) PUMA,197,197,0,41411.16751269036,41411.16751269036,0.0
106,Saratoga County (Outer) PUMA,0,0,0,#DIV/0!,0.0,0.0
107,"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA",1246,290,956,30008.025682182986,20000.0,33043.9330543933
108,NYC-Brooklyn Community District 4--Bushwick PUMA,1660,1343,317,24797.349397590362,22512.28592702904,34478.233438485804
109,Suffolk County (Central)--Islip Town (East) PUMA,79,79,0,25000.0,25000.0,0.0
110,Westchester County (Southwest)--Yonkers City PUMA,1764,1321,443,54942.74376417234,60252.53595760787,39109.25507900677
111,Nassau County (West Central)--North Hempstead Town (South) PUMA,1212,916,296,50493.81188118812,59993.44978165939,21096.283783783783
112,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA",944,669,275,60043.43220338983,69968.60986547085,35898.181818181816
113,Jefferson & Lewis Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
114,Suffolk County (Central)--Brookhaven Town (West Central) PUMA,611,226,385,33248.445171849424,31744.24778761062,34131.42857142857
115,Suffolk County (Northwest)--Huntington Town (South) PUMA,470,333,137,138284.25531914894,51052.252252252256,350315.3284671533
116,NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA,1474,911,563,24425.644504748983,25160.04390779363,23237.300177619894
117,"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA",1532,1197,335,26034.595300261095,27640.93567251462,20294.925373134327
118,Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA,0,0,0,#DIV/0!,0.0,0.0
119,Monroe County (Central)--Greece & Gates Towns PUMA,153,153,0,54020.0,54020.0,0.0
120,NYC-Queens Community District 3--Jackson Heights & North Corona PUMA,7420,5686,1734,31259.690026954177,33415.91628561379,24189.158016147634
121,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA",675,498,177,37360.88888888889,34361.44578313253,45800.0
122,NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA,1449,1261,188,40797.51552795031,41207.454401268835,38047.87234042553
123,Broome (Outer West) & Tioga Counties PUMA,0,0,0,#DIV/0!,0.0,0.0
124,Putnam County PUMA,914,630,284,36948.577680525166,35617.46031746032,39901.40845070423
125,"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA",943,434,509,31226.299045599153,29174.423963133642,32975.83497053045
126,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA",1274,907,367,35965.46310832025,38749.94487320838,29083.92370572207
127,Nassau County (Central)--Hempstead Town (Northeast) PUMA,700,342,358,70671.42857142857,37105.26315789474,102737.43016759776
128,Suffolk County (Central)--Brookhaven Town (Central) PUMA,562,562,0,43914.59074733096,43914.59074733096,0.0
129,NYC-Manhattan Community District 10--Central Harlem PUMA,743,646,97,13563.526244952895,15284.82972136223,2100.0
130,"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA",1274,675,599,20366.954474097332,25712.444444444445,14343.238731218698
131,NYC-Manhattan Community District 11--East Harlem PUMA,1948,1063,885,20553.388090349075,21592.662276575727,19305.084745762713
132,Westchester County (Northwest) PUMA,587,541,46,20858.94378194208,18806.284658040666,45000.0
133,Onondaga County (North) PUMA,64,64,0,78000.0,78000.0,0.0
134,NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA,537,295,242,23914.525139664805,25211.186440677968,22333.88429752066
135,NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA,334,334,0,42230.53892215569,42230.53892215569,0.0
136,Genesee & Orleans Counties PUMA,61,61,0,25409.83606557377,25409.83606557377,0.0
137,Westchester County (Central)--White Plains City PUMA,1422,1108,314,33361.74402250352,31702.527075812275,39216.56050955414
138,Saratoga County (South & Central) PUMA,0,0,0,#DIV/0!,0.0,0.0
139,Monroe County (South) PUMA,276,0,276,68398.55072463768,0.0,68398.55072463768
140,Suffolk County (Central)--Islip Town (Northwest) PUMA,2724,2040,684,43112.922173274594,51079.705882352944,19352.33918128655
141,St. Lawrence County PUMA,48,48,0,15000.0,15000.0,0.0
142,Nassau County (West Central)--Hempstead Town (West Central) PUMA,114,51,63,74789.47368421052,35000.0,107000.0
143,Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA,2164,1805,359,36833.29482439926,38365.42936288089,29129.944289693594
144,"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA",1010,611,399,20176.633663366338,22417.512274959085,16745.112781954886
145,Nassau County (Southeast)--Oyster Bay Town (South) PUMA,101,0,101,50000.0,0.0,50000.0
146,Capital Region,1210,1210,0,99482.03013436779,99482.03013436779,0.0
147,Central NY,777,473,304,135425.19813519815,144517.75147928996,46311.63793103448
148,Finger Lakes,1298,780,518,293128.1039492309,176527.2699067927,168398.5507246377
149,Long Island,20966,15736,5230,1030755.4491757873,909846.0592849773,956558.9208114573
150,Mid-Hudson,16081,11769,4312,599745.2740498842,615114.6347825174,410653.7169930006
151,Mohawk Valley,952,547,405,67867.31179549114,77825.55344638489,56780.808080808085
152,New York City,84558,58883,25675,1714770.5787354761,1740150.7012620217,1331242.2633882614
153,North Country,140,93,47,56956.52173913043,59000.0,40000.0
154,Southern Tier,101,101,0,149000.0,149000.0,0.0
155,Western NY,1075,338,737,233120.50828431282,218000.0,150200.0
